date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-04-03T00:00:00.000Z,153.83,157.38,152.19,155.1,41243284,148.0886285236,151.5061324647,146.5098379705,149.311228525,41243284,0.0,1.0
2020-04-06T00:00:00.000Z,165.27,166.5,157.58,160.32,67111697,159.1016553084,160.2857482232,151.698667898,154.3364033342,67111697,0.0,1.0
2020-04-07T00:00:00.000Z,163.49,170.0,163.26,169.59,62769038,157.388089952,163.655118306,157.1666742037,163.2604206677,62769038,0.0,1.0
2020-04-08T00:00:00.000Z,165.13,166.67,163.5,165.67,48318234,158.9668805051,160.4494033415,157.3977167237,159.486726175,48318234,0.0,1.0
2020-04-09T00:00:00.000Z,165.14,167.37,163.33,166.36,51431775,158.9765072767,161.123277358,157.2340616054,160.1509734199,51431775,0.0,1.0
2020-04-13T00:00:00.000Z,165.51,165.57,162.3,164.35,41905264,159.3326978283,159.3904584583,156.2425041239,158.2159923152,41905264,0.0,1.0
2020-04-14T00:00:00.000Z,173.7,173.75,168.0,169.0,52874338,167.217023822,167.2651576804,161.7297639729,162.6924411395,52874338,0.0,1.0
2020-04-15T00:00:00.000Z,171.88,173.57,169.24,171.2,40940833,165.464951379,167.0918757904,162.9234836594,164.8103309058,40940833,0.0,1.0
2020-04-16T00:00:00.000Z,177.04,177.28,172.9,174.3,50479610,170.4323655582,170.6634080781,166.4468820888,167.7946301219,50479610,0.0,1.0
2020-04-17T00:00:00.000Z,178.6,180.0,175.87,179.5,52765625,171.9341419379,173.281889971,169.3060332733,172.8005513878,52765625,0.0,1.0
2020-04-20T00:00:00.000Z,175.06,178.75,174.99,176.63,36669595,168.5262647685,172.0785435129,168.4588773668,170.0376679199,36669595,0.0,1.0
2020-04-21T00:00:00.000Z,167.82,173.67,166.11,173.5,56203749,161.556482083,167.188143507,159.9103041283,167.0244883887,56203749,0.0,1.0
2020-04-22T00:00:00.000Z,173.52,174.0,170.82,171.39,34651604,167.0437419321,167.505826972,164.4445135825,164.9932395674,34651604,0.0,1.0
2020-04-23T00:00:00.000Z,171.42,175.06,170.91,174.11,32790804,165.0221198824,168.5262647685,164.5311545275,167.6117214603,32790804,0.0,1.0
2020-04-24T00:00:00.000Z,174.55,174.56,170.71,172.06,34305320,168.0352994136,168.0449261852,164.3386190942,165.638233269,34305320,0.0,1.0
2020-04-27T00:00:00.000Z,174.05,176.9,173.3,176.59,33194384,167.5539608303,170.2975907548,166.8319529554,169.9991608332,33194384,0.0,1.0
2020-04-28T00:00:00.000Z,169.81,175.67,169.39,175.59,34392694,163.4722096443,169.11349784,163.0678852344,169.0364836667,34392694,0.0,1.0
2020-04-29T00:00:00.000Z,177.43,177.68,171.88,173.22,51286559,170.8078096531,171.0484789447,165.464951379,166.7549387821,51286559,0.0,1.0
2020-04-30T00:00:00.000Z,179.21,180.4,176.23,180.0,53875857,172.5213750095,173.6669608376,169.6525970533,173.281889971,53875857,0.0,1.0
2020-05-01T00:00:00.000Z,174.57,178.64,174.01,175.8,39370474,168.0545529569,171.9726490246,167.5154537436,169.2386458717,39370474,0.0,1.0
2020-05-04T00:00:00.000Z,178.84,179.0,173.8,174.49,30372862,172.1651844579,172.3192128045,167.3132915387,167.9775387836,30372862,0.0,1.0
2020-05-05T00:00:00.000Z,180.76,183.65,179.9,180.62,36839168,174.0135246176,176.7956616288,173.1856222544,173.8787498142,36839168,0.0,1.0
2020-05-06T00:00:00.000Z,182.54,184.2,181.63,182.08,32139299,175.7270899739,177.3251340703,174.8510537524,175.2842584773,32139299,0.0,1.0
2020-05-07T00:00:00.000Z,183.6,184.55,182.58,184.17,28315992,176.7475277704,177.6620710786,175.7655970606,177.2962537553,28315992,0.0,1.0
2020-05-08T00:00:00.000Z,184.68,185.0,183.36,184.98,30912638,177.7872191103,178.0952758035,176.5164852505,178.0760222602,30912638,0.0,1.0
2020-05-11T00:00:00.000Z,186.74,187.51,182.85,183.15,30892660,179.7703340733,180.5115954915,176.0255198956,176.3143230455,30892660,0.0,1.0
2020-05-12T00:00:00.000Z,182.51,187.04,182.3,186.8,32038199,175.6982096589,180.0591372232,175.496047454,179.8280947033,32038199,0.0,1.0
2020-05-13T00:00:00.000Z,179.75,184.05,176.54,182.55,44711488,173.0412206794,177.1807324954,169.9510269749,175.7367167456,44711488,0.0,1.0
2020-05-14T00:00:00.000Z,180.53,180.69,175.68,177.54,41873911,173.7921088693,173.9461372159,169.1231246117,170.9137041414,41873911,0.0,1.0
2020-05-15T00:00:00.000Z,183.16,187.06,177.0,179.06,46610382,176.3239498172,180.0783907665,170.3938584715,172.3769734345,46610382,0.0,1.0
2020-05-18T00:00:00.000Z,184.91,186.2,183.96,185.75,35306620,178.0086348586,179.2504884034,177.0940915504,178.8172836784,35306620,0.0,1.0
